smp2.virtio_net.CustomGuestLinux.qemu_img.check:PASS (20.17 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.create: PASS (10.43 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.convert.to_qcow2: PASS (52.27 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.convert.to_raw: PASS (46.52 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.convert.to_qed: PASS (42.75 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.snapshot: PASS (29.31 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.info: PASS (10.22 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.rebase: PASS (10.52 s)
smp2.virtio_net.CustomGuestLinux.qemu_img.commit: PASS (110.09 s)
smp2.virtio_net.CustomGuestLinux.module_probe: PASS (10.30 s)
smp2.virtio_net.CustomGuestLinux.boot: PASS (18.64 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.ehci: PASS (25.50 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.keyboard.uhci: PASS (25.55 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.keyboard.xhci: PASS (25.55 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.mouse.uhci: PASS (25.55 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.mouse.xhci: PASS (25.52 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.usb_audio: FAIL (253.02 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.hub: PASS (124.82 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.storage.uhci: PASS (29.61 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.storage.ehci: PASS (29.62 s)
smp2.virtio_net.CustomGuestLinux.boot_with_usb.storage.xhci: PASS (51.57 s)
smp2.virtio_net.CustomGuestLinux.reboot: PASS (58.26 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.ehci: PASS (72.04 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.keyboard.uhci: PASS (72.08 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.keyboard.xhci: PASS (72.06 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.mouse.uhci: PASS (72.10 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.mouse.xhci: FAIL (252.95 s)
smp2.virtio_net.CustomGuestLinux.reboot_with_usb.usb_audio: PASS (72.13 s)
